2026-06-23 14:03:08 status unpacked libdrm-common:all 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:08 upgrade libdrm2:amd64 2.4.125-1ubuntu0.1~24.04.1 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:08 status half-configured libdrm2:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:08 status unpacked libdrm2:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:08 status half-installed libdrm2:amd64 2.4.125-1ubuntu0.1~24.04.1
2026-06-23 14:03:08 status unpacked libdrm2:amd64 2.4.125-1ubuntu0.1~24.04.2
2026-06-23 14:03:09 upgrade nano:amd64 7.2-2ubuntu0.1 7.2-2ubuntu0.2
2026-06-23 14:03:09 status half-configured nano:amd64 7.2-2ubuntu0.1
2026-06-23 14:03:09 status unpacked nano:amd64 7.2-2ubuntu0.1
2026-06-23 14:03:09 status half-installed nano:amd64 7.2-2ubuntu0.1
2026-06-23 14:03:09 status triggers-pending install-info:amd64 7.1-3build2
2026-06-23 14:03:09 status unpacked nano:amd64 7.2-2ubuntu0.2
2026-06-23 14:03:09 upgrade telnet:all 0.17+2.5-3ubuntu4.1 0.17+2.5-3ubuntu4.2
2026-06-23 14:03:09 status half-configured telnet:all 0.17+2.5-3ubuntu4.1
2026-06-23 14:03:09 status unpacked telnet:all 0.17+2.5-3ubuntu4.1
2026-06-23 14:03:09 status half-installed telnet:all 0.17+2.5-3ubuntu4.1
2026-06-23 14:03:09 status unpacked telnet:all 0.17+2.5-3ubuntu4.2
2026-06-23 14:03:09 upgrade xz-utils:amd64 5.6.1+really5.4.5-1ubuntu0.2 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:03:09 status half-configured xz-utils:amd64 5.6.1+really5.4.5-1ubuntu0.2
2026-06-23 14:03:09 status unpacked xz-utils:amd64 5.6.1+really5.4.5-1ubuntu0.2
2026-06-23 14:03:09 status half-installed xz-utils:amd64 5.6.1+really5.4.5-1ubuntu0.2
2026-06-23 14:03:10 status unpacked xz-utils:amd64 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:03:10 upgrade firmware-sof-signed:all 2023.12.1-1ubuntu1.10 2023.12.1-1ubuntu1.11
2026-06-23 14:03:10 status half-configured firmware-sof-signed:all 2023.12.1-1ubuntu1.10
2026-06-23 14:03:10 status unpacked firmware-sof-signed:all 2023.12.1-1ubuntu1.10
2026-06-23 14:03:10 status half-installed firmware-sof-signed:all 2023.12.1-1ubuntu1.10
2026-06-23 14:03:13 status unpacked firmware-sof-signed:all 2023.12.1-1ubuntu1.11
2026-06-23 14:03:14 upgrade libcups2t64:amd64 2.4.7-1.2ubuntu7.9 2.4.7-1.2ubuntu7.14
2026-06-23 14:03:14 status half-configured libcups2t64:amd64 2.4.7-1.2ubuntu7.9
